id_coordenada_dibujo_ruta,id_dibujo_ruta_linea,latitud_dibujo_ruta,longitud_dibujo_ruta,posicion,id_dibujo_rutas,id_ruta,color_ruta,grosor_ruta,opacidad_ruta,id_cuenta_usuario_dibujo,nombre_cuenta_usuario_dibujo,id_cliente_dibujo_ruta,id_ruta,id_tipo_ruta,id_tipo_impresion_hoja_ruta,nombre_ruta,cantidad_punto_ruta,coincidencia_min,numero_ruta,ver_totales,ver_observaciones,ver_retraso_en_planilla,ver_velocidad_excedida,monto_velocidad_excedida,orden_pestania_planilla,visualizar_ruta,frecuencia_envio_hora,estado_ruta,reasignacion_grupal,id_cuenta_usuario_ruta,nombre_cuenta_usuario_ruta,id_cliente_ruta
2563,19,-17.40239557297688,-66.15285069850395,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2564,19,-17.40237706503552,-66.15334331989288,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2565,19,-17.401935256337367,-66.15336031821678,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2566,19,-17.401269799447473,-66.15332276729058,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2567,19,-17.39987745104177,-66.15324230102013,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2568,19,-17.398991870987512,-66.15321547892998,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2569,19,-17.39844414013657,-66.15327985194634,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2570,19,-17.397107165327952,-66.15349979308556,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2571,19,-17.395875934636525,-66.15376264956902,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2572,19,-17.395389620710155,-66.15386993792961,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2573,19,-17.393940917288234,-66.1541381588311,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2574,19,-17.393203763438876,-66.15429372695397,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2575,19,-17.392538274773205,-66.15442783740471,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2576,19,-17.39192401846047,-66.15456104278564,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2577,19,-17.3917730942206,-66.15459413436363,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2578,19,-17.39183452430196,-66.15498573687981,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2579,19,-17.39193931032918,-66.15556235161868,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2580,19,-17.392036574526806,-66.1561765774831,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2581,19,-17.392149196164716,-66.15668351498691,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2582,19,-17.392213185700815,-66.15713680831043,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2583,19,-17.39227461563442,-66.15756059733478,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2584,19,-17.392366760496124,-66.15801925507633,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2585,19,-17.392489620239544,-66.15873272267429,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2586,19,-17.392679028848963,-66.1596714958295,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2587,19,-17.39273022033134,-66.15995312777606,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2588,19,-17.392896592550176,-66.16105015126315,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2589,19,-17.39306040504855,-66.16205866185275,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2590,19,-17.393055285910194,-66.16211230603305,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2591,19,-17.39291962869162,-66.16213108149616,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2592,19,-17.39266879055076,-66.16215522137729,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2593,19,-17.391982183370033,-66.16224909869281,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2594,19,-17.390965479349294,-66.1624100312337,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2595,19,-17.389962114003335,-66.16256291714755,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2596,19,-17.389631923693667,-66.16259778586475,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2597,19,-17.388940825767712,-66.1626970275983,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2598,19,-17.388098706618248,-66.16283382025806,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2599,19,-17.387851273795977,-66.16286600676624,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2600,19,-17.387953659448357,-66.16357142773715,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2601,19,-17.387979255852493,-66.16377259341327,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2602,19,-17.38793574196332,-66.16390133944599,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2603,19,-17.387782163448243,-66.16428757754413,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2604,19,-17.387551795433925,-66.16495544758884,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2605,19,-17.387467327089347,-66.16523439732639,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2606,19,-17.38739821659658,-66.16545970288364,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2607,19,-17.387313748181086,-66.16568500844089,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2608,19,-17.387213921821598,-66.16580034342853,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2609,19,-17.387096177840416,-66.1659022673711,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2610,19,-17.386973314474915,-66.16602564898578,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2611,19,-17.3868094965259,-66.16615975943652,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2612,19,-17.38632572078917,-66.16656209078876,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2613,19,-17.386118387939042,-66.16670693007556,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2614,19,-17.385719079565778,-66.16705025282947,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2615,19,-17.385363284832437,-66.16735066023914,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2616,19,-17.384580022046517,-66.16796220389453,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2617,19,-17.384244702639503,-66.16823578921405,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2618,19,-17.383988733213,-66.1684959634885,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2619,19,-17.383835151385256,-66.16871590462772,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2620,19,-17.383709726130324,-66.16892511693088,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2621,19,-17.38349471120761,-66.16931135502902,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2622,19,-17.383436100711638,-66.16940763930013,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2623,19,-17.38336954840115,-66.16952297428777,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2624,19,-17.383361869286837,-66.16960880497625,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2625,19,-17.383333712531623,-66.16973218659093,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2626,19,-17.383356749877112,-66.16977241972616,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2627,19,-17.383377227515133,-66.16981265286138,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
