id_coordenada_dibujo_ruta,id_dibujo_ruta_linea,latitud_dibujo_ruta,longitud_dibujo_ruta,posicion,id_dibujo_rutas,id_ruta,color_ruta,grosor_ruta,opacidad_ruta,id_cuenta_usuario_dibujo,nombre_cuenta_usuario_dibujo,id_cliente_dibujo_ruta,id_ruta,id_tipo_ruta,id_tipo_impresion_hoja_ruta,nombre_ruta,cantidad_punto_ruta,coincidencia_min,numero_ruta,ver_totales,ver_observaciones,ver_retraso_en_planilla,ver_velocidad_excedida,monto_velocidad_excedida,orden_pestania_planilla,visualizar_ruta,frecuencia_envio_hora,estado_ruta,reasignacion_grupal,id_cuenta_usuario_ruta,nombre_cuenta_usuario_ruta,id_cliente_ruta
2736,17,-17.37776795129135,-66.20237422225885,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2737,17,-17.377368624700402,-66.20237958667688,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2738,17,-17.377558048961102,-66.2013925337594,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2739,17,-17.377660440371788,-66.20090437171869,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2740,17,-17.377706261812996,-66.20071539532194,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2741,17,-17.378279652510997,-66.20068857323179,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2742,17,-17.379201169513216,-66.20071539532194,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2743,17,-17.38103395065192,-66.20079049717435,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2744,17,-17.381023711702124,-66.20111236225614,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2745,17,-17.38115681800488,-66.20114454876432,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2746,17,-17.381167056947245,-66.20104798923978,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2747,17,-17.381182171840795,-66.20087879492536,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2748,17,-17.38126920282053,-66.2002189715077,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2749,17,-17.381310158561366,-66.19980054690137,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2750,17,-17.381589169302018,-66.19770574166074,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2751,17,-17.381681319544953,-66.19649338318601,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2752,17,-17.38179394755663,-66.1949430663754,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2753,17,-17.38179394755663,-66.19472312523618,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2754,17,-17.381891217147317,-66.19453537060514,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
